TICKER,SETOR,LIQUIDEZMEDIADIARIA,PVP,MEDIA_YIELD_12M,RENTABILIDADE,NUMERO_COTISTA,PATRIMONIO_LIQUIDO
VGIP11,Papéis,1316953.22,0.9459,1.0992,20.0839,85070,1046074766.28
VGIR11,Papéis,8111822.17,0.9672,1.2117,19.0262,248586,1423918121.46
VGRI11,Misto,573766.22,0.736,1.9033,18.5656,12026,368798857.47
VILG11,Imóveis Industriais e Logísticos,1673256.06,0.7666,0.815,24.1844,146948,1690328197.72
VINO11,Lajes Corporativas,589633.39,0.4995,0.9867,15.6148,150897,852283536.07
VISC11,Shoppings,3842378.33,0.8354,0.8133,19.757,345960,3593464259.57
VPPR11,Lajes Corporativas,336848.67,0.329,0.2875,-10.2679,40224,291355856.56
VRTA11,Papéis,1321077.83,0.9477,1.065,16.4932,114786,1361249999.99
VRTM11,Misto,452571.17,0.7637,1.21,13.5439,11795,437503419.01
XPCA11,Outros,787795.67,0.7897,1.1458,35.5989,98553,432738486.5
XPCI11,Papéis,1445624.28,0.9016,1.1033,14.4563,68302,761623126.37
XPIN11,Imóveis Industriais e Logísticos,330169.11,0.7012,1.0283,12.4518,44611,741554183.5
XPLG11,Imóveis Industriais e Logísticos,3030666.78,0.9375,0.8475,17.6014,341920,3328715642.17
XPML11,Shoppings,11558178.89,0.9118,0.9233,15.956,588620,6648002647.46
XPSF11,Fundo de Fundos,444053.28,0.8385,1.0525,9.1997,62683,324337448.82
